route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
3,000003,88____:049::8894201:8893401:3:1430:20241027,Termonde,11007,,66,,1
5,000005,88____:049::8895208:8895802:9:1349:20241201,Denderleeuw,11007,,67,,1
7,000007,88____:049::8892601:8892908:2:957:20241126,Renaix,11007,,68,,1
8,000008,88____:049::8891009:8891660:5:1425:20241020,Knokke,11007,,69,,1
9,000009,88____:049::8896008:8896735:8:1543:20241208,Poperinge,11007,,70,,1
10,000010,88____:049::8893542:8893401:5:1452:20241110,Termonde,11007,,71,,1
14,000013,88____:049::8895505:8895802:10:545:20241031,Denderleeuw,11007,,72,,1
2,000014,87____:049::8728600:8889011:5:1515:20241117,Courtrai,11008,,73,,1
2,000014,88____:049::8889011:8896008:3:1548:20241117,Courtrai,11008,,73,,1
3,000003,88____:049::8894201:8893401:3:1530:20241027,Termonde,11008,,74,,1
5,000005,88____:049::8895208:8895802:9:1449:20241201,Denderleeuw,11008,,75,,1
7,000007,88____:049::8892601:8892908:2:1057:20241126,Renaix,11008,,76,,1
8,000008,88____:049::8891009:8891660:5:1525:20241020,Knokke,11008,,77,,1
9,000009,88____:049::8896008:8896735:8:1643:20241208,Poperinge,11008,,78,,1
14,000015,88____:049::8895505:8895802:10:701:20241101,Denderleeuw,11008,,79,,1
10,000010,88____:049::8893542:8893401:5:1552:20241110,Termonde,11008,,80,,1
2,000014,87____:049::8728600:8889011:5:1615:20241117,Courtrai,11009,,81,,1
2,000014,88____:049::8889011:8896008:3:1648:20241117,Courtrai,11009,,81,,1
3,000003,88____:049::8894201:8893401:3:1630:20241027,Termonde,11009,,82,,1
5,000005,88____:049::8895208:8895802:9:1549:20241201,Denderleeuw,11009,,83,,1
7,000007,88____:049::8892601:8892908:2:1157:20241126,Renaix,11009,,84,,1
8,000008,88____:049::8891009:8891660:5:1625:20241020,Knokke,11009,,85,,1
9,000009,88____:049::8896008:8896735:8:1743:20241208,Poperinge,11009,,86,,1
10,000010,88____:049::8893542:8893401:5:1652:20241110,Termonde,11009,,87,,1
14,000015,88____:049::8895505:8895802:10:801:20241101,Denderleeuw,11009,,88,,1
2,000014,87____:049::8728600:8889011:5:1715:20241117,Courtrai,11010,,89,,1
2,000014,88____:049::8889011:8896008:3:1748:20241117,Courtrai,11010,,89,,1
3,000003,88____:049::8894201:8893401:3:1730:20241027,Termonde,11010,,90,,1
5,000005,88____:049::8895208:8895802:9:1649:20241201,Denderleeuw,11010,,91,,1
7,000007,88____:049::8892601:8892908:2:1257:20241126,Renaix,11010,,92,,1
8,000008,88____:049::8891009:8891660:5:1725:20241020,Knokke,11010,,93,,1
9,000009,88____:049::8896008:8896735:8:1843:20241208,Poperinge,11010,,94,,1
14,000015,88____:049::8895505:8895802:10:901:20241101,Denderleeuw,11010,,95,,1
10,000010,88____:049::8893542:8893401:5:1752:20241110,Termonde,11010,,96,,1
2,000014,87____:049::8728600:8889011:5:1815:20241117,Courtrai,11011,,97,,1
2,000014,88____:049::8889011:8896008:3:1848:20241117,Courtrai,11011,,97,,1
3,000003,88____:049::8894201:8893401:3:1830:20241027,Termonde,11011,,98,,1
5,000005,88____:049::8895208:8895802:9:1749:20241201,Denderleeuw,11011,,99,,1
8,000008,88____:049::8891009:8891660:5:1825:20241020,Knokke,11011,,100,,1
9,000009,88____:049::8896008:8896735:8:1943:20241208,Poperinge,11011,,101,,1
10,000010,88____:049::8893542:8893401:5:1852:20241110,Termonde,11011,,102,,1
14,000015,88____:049::8895505:8895802:10:1001:20241101,Denderleeuw,11011,,103,,1
7,000007,88____:049::8892601:8892908:2:1322:20241126,Renaix,11011,,104,,1
2,000014,87____:049::8728600:8889011:5:1915:20241117,Courtrai,11012,,105,,1
2,000014,88____:049::8889011:8896008:3:1948:20241117,Courtrai,11012,,105,,1
3,000003,88____:049::8894201:8893401:3:1930:20241027,Termonde,11012,,106,,1
5,000005,88____:049::8895208:8895802:9:1849:20241201,Denderleeuw,11012,,107,,1
8,000008,88____:049::8891009:8891660:5:1925:20241020,Knokke,11012,,108,,1
9,000009,88____:049::8896008:8896735:8:2043:20241208,Poperinge,11012,,109,,1
10,000010,88____:049::8893542:8893401:5:1952:20241110,Termonde,11012,,110,,1
14,000015,88____:049::8895505:8895802:10:1101:20241101,Denderleeuw,11012,,111,,1
7,000007,88____:049::8892601:8892908:2:1357:20241126,Renaix,11012,,112,,1
2,000014,87____:049::8728600:8889011:5:2015:20241117,Courtrai,11013,,113,,1
2,000014,88____:049::8889011:8896008:3:2048:20241117,Courtrai,11013,,113,,1
5,000005,88____:049::8895208:8895802:9:1949:20241201,Denderleeuw,11013,,114,,1
3,000003,88____:049::8894201:8893401:3:2030:20241027,Termonde,11013,,115,,1
8,000008,88____:049::8891009:8891660:5:2025:20241020,Knokke,11013,,116,,1
9,000009,88____:049::8896008:8896735:8:2143:20241208,Poperinge,11013,,117,,1
10,000010,88____:049::8893542:8893401:5:2052:20241110,Termonde,11013,,118,,1
14,000015,88____:049::8895505:8895802:10:1201:20241101,Denderleeuw,11013,,119,,1
7,000007,88____:049::8892601:8892908:2:1457:20241126,Renaix,11013,,120,,1
2,000014,87____:049::8728600:8889011:5:2115:20241117,Courtrai,11014,,121,,1
2,000014,88____:049::8889011:8896008:3:2148:20241117,Courtrai,11014,,121,,1
3,000003,88____:049::8894201:8893401:3:2130:20241027,Termonde,11014,,122,,1
5,000005,88____:049::8895208:8895802:9:2049:20241201,Denderleeuw,11014,,123,,1
8,000008,88____:049::8891009:8891660:5:2125:20241020,Knokke,11014,,124,,1
9,000009,88____:049::8896008:8896735:8:2243:20241208,Poperinge,11014,,125,,1
14,000015,88____:049::8895505:8895802:10:1301:20241101,Denderleeuw,11014,,126,,1
10,000010,88____:049::8893542:8893401:5:2152:20241110,Termonde,11014,,127,,1
15,000018,88____:049::8821006:8894508:8:2450:20241129,Saint-Nicolas,11014,,128,,1
2,000014,87____:049::8728600:8889011:5:2215:20241117,Courtrai,11015,,129,,1
2,000014,88____:049::8889011:8896008:3:2248:20241117,Courtrai,11015,,129,,1
5,000005,88____:049::8895208:8895802:9:2149:20241201,Denderleeuw,11015,,130,,1
8,000008,88____:049::8891009:8891660:5:2225:20241020,Knokke,11015,,131,,1
3,000003,88____:049::8894201:8893401:3:2252:20241027,Termonde,11015,,132,,1
9,000009,88____:049::8896008:8896735:8:2343:20241208,Poperinge,11015,,133,,1
14,000015,88____:049::8895505:8895802:10:1401:20241101,Denderleeuw,11015,,134,,1
10,000010,88____:049::8893542:8893401:5:2252:20241110,Termonde,11015,,135,,1
15,000018,88____:049::8821006:8894508:8:2351:20241129,Saint-Nicolas,11015,,136,,1
2,000014,87____:049::8728600:8889011:5:2315:20241117,Courtrai,11016,,137,,1
2,000014,88____:049::8889011:8896008:3:2348:20241117,Courtrai,11016,,137,,1
5,000005,88____:049::8895208:8895802:9:2249:20241201,Denderleeuw,11016,,138,,1
8,000008,88____:049::8891009:8891660:5:2325:20241020,Knokke,11016,,139,,1
3,000003,88____:049::8893401:8894201:3:802:20241027,Lokeren,11016,,140,,1
