route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
169,NMBS/SNCB,L,Anvers-Central -- Puurs,,100,,,
17,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Alost,,700,,,
170,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
171,NMBS/SNCB,L,Bruxelles-Midi -- Anvers-Central,,100,,,
172,NMBS/SNCB,L,Malines -- Louvain,,100,,,
173,NMBS/SNCB,L,Essen -- Kapellen,,100,,,
174,NMBS/SNCB,IC,Malines -- Louvain,,103,,,
175,NMBS/SNCB,L,Anvers-Central -- Malines,,100,,,
176,NMBS/SNCB,L,Anvers-Noorderdokken -- Puurs,,100,,,
177,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
178,NMBS/SNCB,IC,Genk -- Landen,,103,,,
179,NMBS/SNCB,IC,Landen -- Liège-Guillemins,,103,,,
18,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Audenarde,,700,,,
180,NMBS/SNCB,L,Anvers-Central -- Anvers-Noorderdokken,,100,,,
181,NMBS/SNCB,IC,Binche -- Braine-le-Comte,,103,,,
182,NMBS/SNCB,IC,Mons -- Braine-le-Comte,,103,,,
183,NMBS/SNCB,L,Verviers-Central -- Welkenraedt,,100,,,
184,NMBS/SNCB,IC,Liers -- Namur,,103,,,
185,NMBS/SNCB,IC,Liège-Guillemins -- Trois-Ponts,,103,,,
186,NMBS/SNCB,L,Liège-Guillemins -- Visé,,100,,,
187,NMBS/SNCB,L,Gendron-Celles -- Libramont,,100,,,
188,NMBS/SNCB,IC,Liers -- Trois-Ponts,,103,,,
189,NMBS/SNCB,L,Gendron-Celles -- Bertrix,,100,,,
19,NMBS/SNCB,BUS,Zottegem -- Courtrai,,700,,,
190,NMBS/SNCB,IC,Liège-Guillemins -- Rivage,,103,,,
191,NMBS/SNCB,IC,Liers -- Rivage,,103,,,
192,NMBS/SNCB,IC,Bruxelles-Midi -- Ciney,,103,,,
193,NMBS/SNCB,IC,Liège-Guillemins -- Liers,,103,,,
194,NMBS/SNCB,IC,Gembloux -- Dinant,,103,,,
195,NMBS/SNCB,P,Ottignies -- Arlon,,103,,,
196,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
197,NMBS/SNCB,IC,Louvain -- Sint-Joris-Weert,,103,,,
198,NMBS/SNCB,P,Herstal -- Bomal,,103,,,
199,NMBS/SNCB,IC,Gembloux -- Namur,,103,,,
2,NMBS/SNCB,BUS,Lille Flandres (FR) -- Courtrai,,700,,,
20,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
200,NMBS/SNCB,P,Bruxelles-Midi -- Arlon,,103,,,
201,NMBS/SNCB,L,Mons -- Quévy,,100,,,
202,NMBS/SNCB,IC,Saint-Ghislain -- Mouscron,,103,,,
203,NMBS/SNCB,IC,Mons -- Mouscron,,103,,,
204,NMBS/SNCB,IC,Tournai -- Ath,,103,,,
205,NMBS/SNCB,IC,Mouscron -- Courtrai,,103,,,
206,NMBS/SNCB,L,Ottignies -- Wavre,,100,,,
207,NMBS/SNCB,IC,Charleroi-Central -- Mons,,103,,,
208,NMBS/SNCB,IC,Charleroi-Central -- Mouscron,,103,,,
209,NMBS/SNCB,IC,Charleroi-Central -- Fleurus,,103,,,
21,NMBS/SNCB,BUS,Courtrai -- Comines,,700,,,
210,NMBS/SNCB,L,Saint-Ghislain -- Quiévrain,,100,,,
211,NMBS/SNCB,IC,La Louvière-Sud -- Binche,,103,,,
212,NMBS/SNCB,L,Jambes -- Tamines,,100,,,
213,NMBS/SNCB,L,Namur -- Tamines,,100,,,
214,NMBS/SNCB,L,Ottignies -- Fleurus,,100,,,
215,NMBS/SNCB,IC,La Louvière-Centre -- Binche,,103,,,
216,NMBS/SNCB,S34,Anvers-Berchem -- Saint-Nicolas,,100,,,
217,NMBS/SNCB,L,Mons -- Tournai,,100,,,
218,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
219,NMBS/SNCB,IC,Louvain -- Bruges,,103,,,
22,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Lokeren,,700,,,
220,NMBS/SNCB,IC,Hasselt -- Bruges,,103,,,
221,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
222,NMBS/SNCB,IC,Louvain -- Blankenberge,,103,,,
223,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
224,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
225,NMBS/SNCB,S6,Schaerbeek -- Grammont,,100,,,
226,NMBS/SNCB,S6,Schaerbeek -- Audenarde,,100,,,
227,NMBS/SNCB,S6,Schaerbeek -- Denderleeuw,,100,,,
228,NMBS/SNCB,S6,Schaerbeek -- Zottegem,,100,,,
229,NMBS/SNCB,S6,Grammont -- Denderleeuw,,100,,,
23,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Renaix,,700,,,
230,NMBS/SNCB,S6,Enghien -- Denderleeuw,,100,,,
231,NMBS/SNCB,S6,Enghien -- Grammont,,100,,,
232,NMBS/SNCB,L,Audenarde -- Zottegem,,100,,,
233,NMBS/SNCB,L,Zottegem -- Courtrai,,100,,,
234,NMBS/SNCB,L,Audenarde -- Courtrai,,100,,,
235,NMBS/SNCB,S43,Maastricht (NL) -- Liège-Guillemins,,100,,,
236,NMBS/SNCB,IC,Liège-Guillemins -- Mons,,103,,,
237,NMBS/SNCB,IC,Louvain -- Mons,,103,,,
238,NMBS/SNCB,IC,Liège-Guillemins -- Quiévrain,,103,,,
239,NMBS/SNCB,IC,Louvain -- Quiévrain,,103,,,
24,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
240,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
241,NMBS/SNCB,L,Louvain -- Landen,,100,,,
242,NMBS/SNCB,EXTRA,Anvers-Central -- Mol,,103,,,
243,NMBS/SNCB,L,Gand-Saint-Pierre -- De Pinte,,100,,,
244,NMBS/SNCB,L,Deinze -- Courtrai,,100,,,
245,NMBS/SNCB,IC,Hasselt -- Louvain,,103,,,
246,NMBS/SNCB,IC,Courtrai -- Poperinge,,103,,,
247,NMBS/SNCB,IC,Liège-Guillemins -- Saint-Ghislain,,103,,,
248,NMBS/SNCB,IC,Louvain -- Saint-Ghislain,,103,,,
249,NMBS/SNCB,S1,Bruxelles-Midi -- Anvers-Central,,100,,,
25,NMBS/SNCB,BUS,Lichtervelde -- La Panne,,700,,,
250,NMBS/SNCB,S1,Nivelles -- Anvers-Central,,100,,,
251,NMBS/SNCB,S1,Bruxelles-Midi -- Nivelles,,100,,,
252,NMBS/SNCB,S1,Nivelles -- Malines,,100,,,
253,NMBS/SNCB,S1,Schaerbeek -- Nivelles,,100,,,
254,NMBS/SNCB,T,Ottignies -- Bruxelles-Midi,,103,,,
255,NMBS/SNCB,IC,Anvers-Central -- Gand-Saint-Pierre,,103,,,
256,NMBS/SNCB,IC,Anvers-Central -- Ostende,,103,,,
257,NMBS/SNCB,IC,Ostende -- Saint-Nicolas,,103,,,
258,NMBS/SNCB,EXTRA,Louvain-la-Neuve -- Bruxelles-Nord,,103,,,
259,NMBS/SNCB,EXTRA,Louvain-la-Neuve -- Namur,,103,,,
26,NMBS/SNCB,BUS,Courtrai -- Menin,,700,,,
260,NMBS/SNCB,EXTRA,Herentals -- Louvain,,103,,,
261,NMBS/SNCB,EXTRA,Ottignies -- Louvain-la-Neuve,,103,,,
262,NMBS/SNCB,S52,Gand-Saint-Pierre -- Grammont,,100,,,
263,NMBS/SNCB,S52,Melle -- Grammont,,100,,,
264,NMBS/SNCB,S52,Eeklo -- Grammont,,100,,,
265,NMBS/SNCB,IC,Luxembourg (LU) -- Arlon,,103,,,
266,NMBS/SNCB,S43,Aachen Hbf (DE) -- Liège-Guillemins,,100,,,
267,NMBS/SNCB,S43,Heerlen -- Liège-Guillemins,,100,,,
268,NMBS/SNCB,S43,Aachen Hbf (DE) -- Visé,,100,,,
269,NMBS/SNCB,IC,Bruxelles-Midi -- Brussels Airport-Zaventem,,103,,,
27,NMBS/SNCB,BUS,Ostende -- Gand-Saint-Pierre,,700,,,
270,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Tournai,,103,,,
271,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Ath,,103,,,
272,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Enghien,,103,,,
273,NMBS/SNCB,IC,Bruxelles-Nord -- Tournai,,103,,,
274,NMBS/SNCB,IC,Bruxelles-Midi -- Tournai,,103,,,
275,NMBS/SNCB,S1,Anvers-Central -- Charleroi-Central,,100,,,
276,NMBS/SNCB,S1,Schaerbeek -- Bruxelles-Midi,,100,,,
277,NMBS/SNCB,S1,Bruxelles-Midi -- Malines,,100,,,
278,NMBS/SNCB,S1,Bruxelles-Nord -- Nivelles,,100,,,
279,NMBS/SNCB,IC,Lille Flandres (FR) -- Courtrai,,103,,,
28,NMBS/SNCB,BUS,Bruges -- Ostende,,700,,,
280,NMBS/SNCB,S63,Maubeuge (FR) -- Charleroi-Central,,100,,,
281,NMBS/SNCB,S63,Erquelinnes -- Charleroi-Central,,100,,,
282,NMBS/SNCB,IC,Lille Flandres (FR) -- Tournai,,103,,,
283,NMBS/SNCB,IC,Lille Flandres (FR) -- Namur,,103,,,
284,NMBS/SNCB,S1,Bruxelles-Nord -- Anvers-Central,,100,,,
285,NMBS/SNCB,IC,Bruxelles-Midi -- Essen,,103,,,
286,NMBS/SNCB,IC,Essen -- Charleroi-Central,,103,,,
287,NMBS/SNCB,IC,Anvers-Central -- Charleroi-Central,,103,,,
288,NMBS/SNCB,IC,Bruxelles-Nord -- Charleroi-Central,,103,,,
289,NMBS/SNCB,S10,Bruxelles-Midi -- Alost,,100,,,
29,NMBS/SNCB,BUS,Courtrai -- Roulers,,700,,,
290,NMBS/SNCB,S10,Bruxelles-Midi -- Denderleeuw,,100,,,
291,NMBS/SNCB,S10,Termonde -- Alost,,100,,,
292,NMBS/SNCB,S10,Termonde -- Denderleeuw,,100,,,
293,NMBS/SNCB,IC,Luxembourg (LU) -- Namur,,103,,,
294,NMBS/SNCB,IC,Namur -- Arlon,,103,,,
295,NMBS/SNCB,IC,Luxembourg (LU) -- Bruxelles-Midi,,103,,,
296,NMBS/SNCB,IC,Bruxelles-Midi -- Arlon,,103,,,
297,NMBS/SNCB,IC,Luxembourg (LU) -- Marloie,,103,,,
298,NMBS/SNCB,IC,Rochefort-Jemelle -- Arlon,,103,,,
299,NMBS/SNCB,IC,Luxembourg (LU) -- Rochefort-Jemelle,,103,,,
3,NMBS/SNCB,BUS,Termonde -- Lokeren,,700,,,
30,NMBS/SNCB,BUS,Malines -- Louvain,,700,,,
300,NMBS/SNCB,IC,Marloie -- Arlon,,103,,,
301,NMBS/SNCB,IC,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
302,NMBS/SNCB,IC,Bruxelles-Midi -- Namur,,103,,,
303,NMBS/SNCB,S4,Malines -- Alost,,100,,,
304,NMBS/SNCB,S4,Bruxelles-Luxembourg -- Malines,,100,,,
305,NMBS/SNCB,IC,Tongres -- Gand-Saint-Pierre,,103,,,
306,NMBS/SNCB,IC,Gand-Saint-Pierre -- Lokeren,,103,,,
307,NMBS/SNCB,IC,Gand-Saint-Pierre -- Termonde,,103,,,
308,NMBS/SNCB,IC,Lokeren -- Denderleeuw,,103,,,
309,NMBS/SNCB,IC,Merelbeke -- Lokeren,,103,,,
31,NMBS/SNCB,BUS,Hasselt -- Diest,,700,,,
310,NMBS/SNCB,IC,Hasselt -- Gand-Saint-Pierre,,103,,,
311,NMBS/SNCB,IC,Merelbeke -- Termonde,,103,,,
312,NMBS/SNCB,IC,Termonde -- Denderleeuw,,103,,,
313,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
314,NMBS/SNCB,S3,Audenarde -- Termonde,,100,,,
315,NMBS/SNCB,S3,Termonde -- Zottegem,,100,,,
316,NMBS/SNCB,S3,Bruxelles-Nord -- Audenarde,,100,,,
317,NMBS/SNCB,S3,Bruxelles-Nord -- Zottegem,,100,,,
318,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Courtrai,,103,,,
319,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Zottegem,,103,,,
32,NMBS/SNCB,BUS,Anvers-Central -- Louvain,,700,,,
320,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Denderleeuw,,103,,,
321,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Ostende,,103,,,
322,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Audenarde,,103,,,
323,NMBS/SNCB,S32,Anvers-Central -- Essen,,100,,,
324,NMBS/SNCB,S32,Essen -- Puurs,,100,,,
325,NMBS/SNCB,S32,Anvers-Central -- Puurs,,100,,,
326,NMBS/SNCB,IC,Liège-Saint-Lambert -- Namur,,103,,,
327,NMBS/SNCB,IC,Bruxelles-Midi -- Liège-Saint-Lambert,,103,,,
